index_code,date,open,close,low,high,volume,label
,2019/4/19,59.5,65,58.68,65.4,1044285.12,59.38
,2019/4/18,58.46,59.5,58.16,60.1,960455.19,57.29
,2019/4/17,58.24,57.46,57,58.34,711349.38,56.43
,2019/4/16,56.3,58.24,55.73,58.28,905344.94,56.362
,2019/4/15,55.76,56.7,55.21,58.55,1385286.12,55.1
,2019/4/12,54.81,54.55,52.9,56,1092515.12,53.202
,2019/4/11,57.33,55.2,54.7,58.39,1743277.5,51.418
,2019/4/10,57.12,57.12,54.56,57.12,3228750.5,49.498
,2019/4/9,51.93,51.93,51.93,51.93,108436.42,47.034
,2019/3/29,45.66,47.21,45.66,47.3,795880.25,45.646
,2019/3/28,45.37,45.63,45.04,45.98,346265.44,45.436
,2019/3/27,45.08,45.6,44.85,45.78,430795.59,45.564
,2019/3/26,45.28,44.8,44.26,45.43,490953.53,45.766
,2019/3/25,45.47,44.99,44.88,45.67,570378.06,46.248
,2019/3/22,46.4,46.16,45.8,46.74,426192.03,46.83
,2019/3/21,46.4,46.27,45.98,46.57,466909.38,46.982
,2019/3/20,47.01,46.61,46.11,47.1,460492.41,46.82
,2019/3/19,47.93,47.21,46.91,48.43,507038.47,46.488
,2019/3/18,46.9,47.9,46.54,48.11,653507.31,46.006
,2019/3/15,45.5,46.92,45.5,47.68,839753.19,45.5
,2019/3/14,44.9,45.46,44.83,46,513688.56,45.018
,2019/3/13,44.88,44.95,44.8,45.25,399022.62,45.074
,2019/3/12,45.73,44.8,44.6,45.75,701913.44,45.504
,2019/3/11,44.51,45.37,44.51,45.46,427441.03,45.96
,2019/3/8,44.76,44.51,44.43,45.39,632230.56,46.216
,2019/3/7,47.1,45.74,45.5,47.11,636125.12,46.46
,2019/3/6,47.3,47.1,46.71,47.8,476323.59,46.272
,2019/3/5,47.05,47.08,46.7,47.47,537114.75,45.762
,2019/3/4,46.27,46.65,46,47.74,880295.12,45.332
,2019/3/1,45.16,45.73,45.03,45.86,645030,45.218
,2019/2/28,44.5,44.8,44.44,45.13,346380.53,45.064
,2019/2/27,45.3,44.55,44.2,45.36,469666.47,45.072
,2019/2/26,46.02,44.93,44.81,46.02,675270,45.16
,2019/2/25,45.11,46.08,44.4,46.1,930082.56,45.098
,2019/2/22,44.79,44.96,43.99,45,451132,44.7
,2019/2/21,45.1,44.84,44.62,45.5,449655.16,44.258
,2019/2/20,44.99,44.99,44.25,45.08,334641.12,44.16
,2019/2/19,44.5,44.62,44.25,45.5,532350.06,43.864
,2019/2/18,43.29,44.09,43.21,44.28,480260.16,43.584
,2019/2/15,44.24,42.75,42.66,44.25,643817.19,43.38
,2019/2/14,43.46,44.35,43.21,44.5,435461.56,43.222
,2019/2/13,43.37,43.51,42.83,43.65,418025.03,42.702
,2019/2/12,43.07,43.22,42.82,43.45,366983.53,42.14
,2019/2/11,41.87,43.07,41.79,43.28,399173.47,41.716
,2019/2/1,42.35,41.96,41.65,42.35,408947.28,41.16
,2019/1/31,41.08,41.75,40.88,41.75,473745.88,40.748
,2019/1/30,40.83,40.7,40.44,41.05,332306.53,40.274
,2019/1/29,40.25,41.1,40.12,41.17,522980.75,39.972
,2019/1/28,40.1,40.29,40.05,41.29,518476.62,39.534
,2019/1/25,39.56,39.9,39.23,40.1,482838.84,39.372
,2019/1/24,39.46,39.38,39,39.5,297290.31,39.186
,2019/1/23,38.72,39.19,38.48,39.46,348265.25,39.042
,2019/1/22,39.47,38.91,38.67,39.47,319458.81,39.066
,2019/1/21,39.03,39.48,38.85,40.15,589809,39.04
,2019/1/18,38.68,38.97,38.43,39.15,569376.44,38.68
,2019/1/17,38.1,38.66,37.84,38.88,927453.25,38.432
,2019/1/16,38.8,39.31,38.65,39.5,501928.75,38.252
,2019/1/15,37.84,38.78,37.71,38.88,612712.94,37.892
,2019/1/14,37.77,37.68,37.54,37.97,211773.48,37.404
,2019/1/11,37.96,37.73,37.39,37.96,330925.88,37.164
,2019/1/10,37.38,37.76,37.29,37.93,477566.16,36.948
,2019/1/9,37.2,37.51,37.07,38.06,1058060.75,36.58
,2019/1/8,36.41,36.34,36.03,36.42,193021.64,36.238
,2019/1/7,36.88,36.48,36.25,36.96,392690.75,36.108
,2019/1/4,35.72,36.65,35.56,36.7,489612.12,35.948
,2019/1/3,35.8,35.92,35.75,36.19,258798.02,35.794
,2019/1/2,36.45,35.8,35.7,36.45,424789.84,35.786
,2018/12/28,35.81,35.69,35.56,36.03,259144.34,35.862
,2018/12/27,36.45,35.68,35.66,36.58,327593.84,35.938
,2018/12/26,35.85,35.88,35.7,36.28,214888.56,36.062
,2018/12/25,35.77,35.88,35.35,36.04,359604.81,36.172
,2018/12/24,35.9,36.18,35.69,36.18,236837.31,36.356
,2018/12/21,36.31,36.07,35.7,36.37,358085.28,36.532
,2018/12/20,36.38,36.3,36.06,36.58,312103.81,36.784
,2018/12/19,36.95,36.43,36.38,36.98,276304.12,37.084
,2018/12/18,36.74,36.8,36.51,37.24,338065.03,37.066
,2018/12/17,37.33,37.06,36.7,37.52,363710.75,36.938
,2018/12/14,37.6,37.33,37.23,37.95,465763.03,36.692
,2018/12/13,36.6,37.8,36.52,38.14,1023430.31,36.522
,2018/12/12,36.49,36.34,36.1,36.51,224641.16,36.262
